Front Right,Front Left,Rear Right,Rear Left,Time
2.7085611820220947,2.6017942428588867,2.8387033939361572,2.936310052871704,49342.0
2.7082455158233643,2.600214719772339,2.848179817199707,2.9461023807525635,49342.0
2.7088770866394043,2.6077959537506104,2.845968723297119,2.9445228576660156,49343.0
2.713299512863159,2.607480049133301,2.8513386249542236,2.950840473175049,49343.0
2.710456609725952,2.6062164306640625,2.8462846279144287,2.944206953048706,49343.0
2.7265663146972656,2.6169564723968506,2.858919620513916,2.952104091644287,49343.0
2.7139313220977783,2.600846529006958,2.845968723297119,2.943575382232666,49343.0
2.7129836082458496,2.605268955230713,2.8450210094451904,2.942943572998047,49344.0
2.706981897354126,2.6017942428588867,2.8453369140625,2.937889337539673,49344.0
2.7095088958740234,2.6068482398986816,2.843125820159912,2.9353623390197754,49344.0
2.704138994216919,2.6011624336242676,2.850390911102295,2.9394688606262207,49344.0
2.7028753757476807,2.597371816635132,2.8443892002105713,2.934098958969116,49344.0
2.7117199897766113,2.6084277629852295,2.849759101867676,2.944838762283325,49345.0
2.7057182788848877,2.6005306243896484,2.8472321033477783,2.9388370513916016,49345.0
2.71266770362854,2.60811185836792,2.855445146560669,2.9454705715179443,49345.0
2.7085611820220947,2.607480049133301,2.8507068157196045,2.9375736713409424,49345.0
2.7139313220977783,2.6100070476531982,2.8579721450805664,2.942943572998047,49345.0
2.7050867080688477,2.6112706661224365,2.8440732955932617,2.9388370513916016,49346.0
2.717090129852295,2.609375238418579,2.848179817199707,2.9445228576660156,49346.0
2.7136154174804688,2.60811185836792,2.855445146560669,2.9467339515686035,49346.0
2.717721700668335,2.6084277629852295,2.8478639125823975,2.9347307682037354,49346.0
2.709192991256714,2.6040053367614746,2.8377559185028076,2.934414863586426,49346.0
2.710456609725952,2.605268955230713,2.8494434356689453,2.941364049911499,49347.0
2.7072978019714355,2.6033735275268555,2.838071584701538,2.9375736713409424,49347.0
2.7110884189605713,2.6021101474761963,2.8469161987304688,2.9366259574890137,49347.0
2.701296091079712,2.601478338241577,2.848811626434326,2.9426276683807373,49347.0
2.7085611820220947,2.6084277629852295,2.8393352031707764,2.935678243637085,49347.0
2.7129836082458496,2.60811185836792,2.8443892002105713,2.945786476135254,49348.0
2.7038230895996094,2.5961084365844727,2.8434417247772217,2.9382052421569824,49348.0
2.7129836082458496,2.609375238418579,2.8472321033477783,2.947049856185913,49348.0
2.7095088958740234,2.600214719772339,2.8440732955932617,2.941364049911499,49348.0
2.7129836082458496,2.6077959537506104,2.847548007965088,2.940732479095459,49348.0
2.7107725143432617,2.605900526046753,2.840914487838745,2.9388370513916016,49349.0
2.716142416000366,2.6040053367614746,2.8456528186798096,2.942943572998047,49349.0
2.7066659927368164,2.6040053367614746,2.8412303924560547,2.94010066986084,49349.0
2.716458320617676,2.6062164306640625,2.8472321033477783,2.9432594776153564,49349.0
2.7117199897766113,2.603057622909546,2.840914487838745,2.9394688606262207,49349.0
2.7088770866394043,2.605268955230713,2.842494010925293,2.9388370513916016,49350.0
2.7088770866394043,2.6027417182922363,2.8405988216400146,2.938521146774292,49350.0
2.7082455158233643,2.605900526046753,2.840914487838745,2.9388370513916016,49350.0
2.711404323577881,2.6011624336242676,2.8377559185028076,2.943575382232666,49350.0
2.7079296112060547,2.600846529006958,2.8393352031707764,2.9369418621063232,49350.0
2.706350088119507,2.607164144515991,2.8453369140625,2.9445228576660156,49351.0
2.7079296112060547,2.599583148956299,2.8387033939361572,2.9388370513916016,49351.0
2.706981897354126,2.5998988151550293,2.8387033939361572,2.9467339515686035,49351.0
2.707613706588745,2.602426052093506,2.848179817199707,2.937889337539673,49351.0
2.709192991256714,2.609375238418579,2.848179817199707,2.947997570037842,49351.0
2.707613706588745,2.5998988151550293,2.8421781063079834,2.941995859146118,49352.0
2.718353509902954,2.6169564723968506,2.8601832389831543,2.954946994781494,49352.0
2.709824800491333,2.6068482398986816,2.8466005325317383,2.94010066986084,49352.0
2.719933032989502,2.610322952270508,2.850390911102295,2.9432594776153564,49352.0
2.7044548988342285,2.605268955230713,2.848179817199707,2.9394688606262207,49352.0
2.714247226715088,2.613165855407715,2.847548007965088,2.943575382232666,49353.0
2.7136154174804688,2.6084277629852295,2.8491275310516357,2.9375736713409424,49353.0
2.704770803451538,2.6062164306640625,2.8462846279144287,2.934414863586426,49353.0
2.7028753757476807,2.6021101474761963,2.8456528186798096,2.9388370513916016,49353.0
2.704770803451538,2.607164144515991,2.8450210094451904,2.9366259574890137,49353.0
2.709192991256714,2.605900526046753,2.848811626434326,2.9347307682037354,49354.0
2.7022438049316406,2.603689432144165,2.839651107788086,2.934414863586426,49354.0
2.701927900314331,2.5998988151550293,2.8453369140625,2.932835340499878,49354.0
2.7079296112060547,2.607164144515991,2.841862201690674,2.935678243637085,49354.0
2.7044548988342285,2.6141135692596436,2.8437576293945312,2.9461023807525635,49354.0
2.704138994216919,2.605268955230713,2.8462846279144287,2.9397847652435303,49355.0
2.710456609725952,2.6134817600250244,2.8522863388061523,2.947049856185913,49355.0
2.709192991256714,2.6084277629852295,2.8469161987304688,2.9366259574890137,49355.0
2.7085611820220947,2.6128499507904053,2.851022720336914,2.9489452838897705,49355.0
2.704770803451538,2.6100070476531982,2.8450210094451904,2.94010066986084,49355.0
2.7136154174804688,2.6106388568878174,2.8491275310516357,2.9495770931243896,49356.0
2.710456609725952,2.607164144515991,2.8428099155426025,2.9382052421569824,49356.0
2.7151947021484375,2.61727237701416,2.8513386249542236,2.943575382232666,49356.0
2.7082455158233643,2.607480049133301,2.8412303924560547,2.939152956008911,49356.0
2.7180376052856445,2.6125340461730957,2.8544974327087402,2.9451546669006348,49356.0
2.717721700668335,2.6141135692596436,2.851022720336914,2.947997570037842,49357.0
2.712035894393921,2.60874342918396,2.849759101867676,2.9410481452941895,49357.0
2.714878797531128,2.6062164306640625,2.8443892002105713,2.939152956008911,49357.0
2.7095088958740234,2.60811185836792,2.8450210094451904,2.937889337539673,49357.0
2.7123517990112305,2.6062164306640625,2.8421781063079834,2.941995859146118,49357.0
2.71266770362854,2.607164144515991,2.8491275310516357,2.9404165744781494,49358.0
2.7107725143432617,2.606532335281372,2.8443892002105713,2.937889337539673,49358.0
2.7117199897766113,2.605900526046753,2.8450210094451904,2.9416799545288086,49358.0
2.7054026126861572,2.5998988151550293,2.8462846279144287,2.935046434402466,49358.0
2.7107725143432617,2.6077959537506104,2.8421781063079834,2.939152956008911,49358.0
2.709192991256714,2.6011624336242676,2.8412303924560547,2.94010066986084,49359.0
2.7079296112060547,2.603057622909546,2.845968723297119,2.9375736713409424,49359.0
2.7088770866394043,2.609375238418579,2.8450210094451904,2.937257766723633,49359.0
2.7123517990112305,2.604321241378784,2.8450210094451904,2.94010066986084,49359.0
2.7050867080688477,2.601478338241577,2.8462846279144287,2.938521146774292,49359.0
2.710456609725952,2.609375238418579,2.844705104827881,2.9369418621063232,49360.0
2.7107725143432617,2.6005306243896484,2.8443892002105713,2.9369418621063232,49360.0
2.7057182788848877,2.6017942428588867,2.8453369140625,2.9353623390197754,49360.0
2.7054026126861572,2.6062164306640625,2.8450210094451904,2.9331512451171875,49360.0
2.7057182788848877,2.606532335281372,2.844705104827881,2.936310052871704,49360.0
2.7044548988342285,2.603689432144165,2.8456528186798096,2.934414863586426,49361.0
2.7123517990112305,2.605268955230713,2.8462846279144287,2.936310052871704,49361.0
2.7066659927368164,2.6033735275268555,2.8450210094451904,2.9353623390197754,49361.0
2.7035071849823,2.603057622909546,2.8450210094451904,2.9359941482543945,49361.0
2.7050867080688477,2.607480049133301,2.842494010925293,2.940732479095459,49361.0
